Algorithm,Cycle,Waypoint,Goal Coordinates,Status,Time Taken (seconds),Path Length (meters),Replans
A*,Cycle 1,Waypoint 3,"0.0, 0.0",SUCCEEDED,30.61,11.04,30
A*,Cycle 2,Waypoint 1,"2.66, 3.01",SUCCEEDED,43.51,16.15,42
A*,Cycle 2,Waypoint 2,"-3.99, -4.0",SUCCEEDED,41.10,16.16,40
A*,Cycle 2,Waypoint 3,"0.0, 0.0",SUCCEEDED,30.36,11.15,30
A*,Cycle 3,Waypoint 1,"2.66, 3.01",SUCCEEDED,46.39,16.08,45
A*,Cycle 3,Waypoint 2,"-3.99, -4.0",SUCCEEDED,38.94,15.83,38
A*,Cycle 3,Waypoint 3,"0.0, 0.0",SUCCEEDED,29.13,11.10,28
A*,Cycle 4,Waypoint 1,"2.66, 3.01",SUCCEEDED,47.51,16.22,46
A*,Cycle 4,Waypoint 2,"-3.99, -4.0",SUCCEEDED,41.64,15.98,41
A*,Cycle 4,Waypoint 3,"0.0, 0.0",SUCCEEDED,28.53,11.06,28
A*,Cycle 5,Waypoint 1,"2.66, 3.01",SUCCEEDED,46.66,16.19,46
A*,Cycle 5,Waypoint 2,"-3.99, -4.0",SUCCEEDED,42.60,15.96,41
A*,Cycle 5,Waypoint 3,"0.0, 0.0",SUCCEEDED,28.39,11.09,28
A*,Cycle 6,Waypoint 1,"2.66, 3.01",SUCCEEDED,46.91,16.16,45
A*,Cycle 6,Waypoint 2,"-3.99, -4.0",SUCCEEDED,42.27,15.93,41
A*,Cycle 6,Waypoint 3,"0.0, 0.0",SUCCEEDED,28.76,11.24,28
A*,Cycle 7,Waypoint 1,"2.66, 3.01",SUCCEEDED,45.62,16.28,45
A*,Cycle 7,Waypoint 2,"-3.99, -4.0",SUCCEEDED,42.89,16.00,42
A*,Cycle 7,Waypoint 3,"0.0, 0.0",SUCCEEDED,30.32,11.07,29
A*,Cycle 8,Waypoint 1,"2.66, 3.01",SUCCEEDED,43.90,16.31,43
A*,Cycle 8,Waypoint 2,"-3.99, -4.0",SUCCEEDED,41.05,15.81,40
A*,Cycle 8,Waypoint 3,"0.0, 0.0",SUCCEEDED,30.51,11.10,30
A*,Cycle 9,Waypoint 1,"2.66, 3.01",SUCCEEDED,43.50,16.09,42
A*,Cycle 9,Waypoint 2,"-3.99, -4.0",SUCCEEDED,39.09,15.90,38
A*,Cycle 9,Waypoint 3,"0.0, 0.0",SUCCEEDED,28.19,11.27,27
A*,Cycle 10,Waypoint 1,"2.66, 3.01",SUCCEEDED,43.66,16.30,43
A*,Cycle 10,Waypoint 2,"-3.99, -4.0",SUCCEEDED,42.07,15.95,41
A*,Cycle 10,Waypoint 3,"0.0, 0.0",SUCCEEDED,29.84,11.27,29
Hybrid,Cycle 1,Waypoint 1,"2.66, 3.01",SUCCEEDED,37.32,14.87,36
Hybrid,Cycle 1,Waypoint 2,"-3.99, -4.0",SUCCEEDED,44.76,15.56,43
Hybrid,Cycle 1,Waypoint 3,"0.0, 0.0",SUCCEEDED,24.73,10.29,24
Hybrid,Cycle 2,Waypoint 1,"2.66, 3.01",SUCCEEDED,37.91,14.81,36
Hybrid,Cycle 2,Waypoint 2,"-3.99, -4.0",SUCCEEDED,42.89,15.38,41
Hybrid,Cycle 2,Waypoint 3,"0.0, 0.0",SUCCEEDED,23.80,10.15,23
Hybrid,Cycle 3,Waypoint 1,"2.66, 3.01",SUCCEEDED,38.87,14.97,37
Hybrid,Cycle 3,Waypoint 2,"-3.99, -4.0",SUCCEEDED,46.05,15.65,45
Hybrid,Cycle 3,Waypoint 3,"0.0, 0.0",SUCCEEDED,24.74,10.58,24
Hybrid,Cycle 4,Waypoint 1,"2.66, 3.01",SUCCEEDED,38.88,14.81,38
Hybrid,Cycle 4,Waypoint 2,"-3.99, -4.0",SUCCEEDED,44.79,15.41,44
Hybrid,Cycle 4,Waypoint 3,"0.0, 0.0",SUCCEEDED,23.55,10.00,22
Hybrid,Cycle 5,Waypoint 1,"2.66, 3.01",SUCCEEDED,39.77,14.86,38
Hybrid,Cycle 5,Waypoint 2,"-3.99, -4.0",SUCCEEDED,44.23,15.55,44
Hybrid,Cycle 5,Waypoint 3,"0.0, 0.0",SUCCEEDED,24.00,10.43,23
Hybrid,Cycle 6,Waypoint 1,"2.66, 3.01",SUCCEEDED,38.06,14.95,37
Hybrid,Cycle 6,Waypoint 2,"-3.99, -4.0",SUCCEEDED,46.89,15.59,46
Hybrid,Cycle 6,Waypoint 3,"0.0, 0.0",SUCCEEDED,25.82,10.14,25
Hybrid,Cycle 7,Waypoint 1,"2.66, 3.01",SUCCEEDED,36.77,14.70,35
Hybrid,Cycle 7,Waypoint 2,"-3.99, -4.0",SUCCEEDED,45.80,15.53,45
Hybrid,Cycle 7,Waypoint 3,"0.0, 0.0",SUCCEEDED,25.51,10.32,24
Hybrid,Cycle 8,Waypoint 1,"2.66, 3.01",SUCCEEDED,38.95,14.92,38
Hybrid,Cycle 8,Waypoint 2,"-3.99, -4.0",SUCCEEDED,46.46,15.55,45
Hybrid,Cycle 8,Waypoint 3,"0.0, 0.0",SUCCEEDED,24.19,10.32,24
Hybrid,Cycle 9,Waypoint 1,"2.66, 3.01",SUCCEEDED,39.41,14.80,39
Hybrid,Cycle 9,Waypoint 2,"-3.99, -4.0",SUCCEEDED,47.47,15.58,46
Hybrid,Cycle 9,Waypoint 3,"0.0, 0.0",SUCCEEDED,24.35,10.33,24
Hybrid,Cycle 10,Waypoint 1,"2.66, 3.01",SUCCEEDED,39.50,14.91,38
Hybrid,Cycle 10,Waypoint 2,"-3.99, -4.0",SUCCEEDED,46.96,15.54,46
Hybrid,Cycle 10,Waypoint 3,"0.0, 0.0",SUCCEEDED,24.25,10.11,24
Algorithm,Cycle,Waypoint,Goal Coordinates,Status,Time Taken (seconds),Path Length (meters),Replans
Dijkstra,Cycle 1,Waypoint 1,"2.66, 3.01",SUCCEEDED,45.00,16.10,43
Dijkstra,Cycle 1,Waypoint 2,"-3.99, -4.0",SUCCEEDED,43.92,15.83,43
Dijkstra,Cycle 1,Waypoint 3,"0.0, 0.0",SUCCEEDED,27.74,10.98,27
Dijkstra,Cycle 2,Waypoint 1,"2.66, 3.01",SUCCEEDED,43.86,16.05,43
Dijkstra,Cycle 2,Waypoint 2,"-3.99, -4.0",SUCCEEDED,42.26,15.71,41
Dijkstra,Cycle 2,Waypoint 3,"0.0, 0.0",SUCCEEDED,27.99,11.13,27
Dijkstra,Cycle 3,Waypoint 1,"2.66, 3.01",SUCCEEDED,43.41,16.27,42
Dijkstra,Cycle 3,Waypoint 2,"-3.99, -4.0",SUCCEEDED,39.55,15.97,38
Dijkstra,Cycle 3,Waypoint 3,"0.0, 0.0",SUCCEEDED,27.97,11.11,27
Dijkstra,Cycle 4,Waypoint 1,"2.66, 3.01",SUCCEEDED,43.54,16.23,43
Dijkstra,Cycle 4,Waypoint 2,"-3.99, -4.0",SUCCEEDED,39.66,15.88,38
Dijkstra,Cycle 4,Waypoint 3,"0.0, 0.0",SUCCEEDED,30.45,11.12,30
Dijkstra,Cycle 5,Waypoint 1,"2.66, 3.01",SUCCEEDED,46.68,16.14,46
Dijkstra,Cycle 5,Waypoint 2,"-3.99, -4.0",SUCCEEDED,39.46,15.84,38
Dijkstra,Cycle 5,Waypoint 3,"0.0, 0.0",SUCCEEDED,27.46,11.28,27
Dijkstra,Cycle 6,Waypoint 1,"2.66, 3.01",SUCCEEDED,47.83,16.26,47
Dijkstra,Cycle 6,Waypoint 2,"-3.99, -4.0",SUCCEEDED,43.31,15.97,43
Dijkstra,Cycle 6,Waypoint 3,"0.0, 0.0",SUCCEEDED,30.36,11.12,30
Dijkstra,Cycle 7,Waypoint 1,"2.66, 3.01",SUCCEEDED,44.04,16.38,43
Dijkstra,Cycle 7,Waypoint 2,"-3.99, -4.0",SUCCEEDED,41.26,15.96,41
Dijkstra,Cycle 7,Waypoint 3,"0.0, 0.0",SUCCEEDED,30.42,11.28,29
Dijkstra,Cycle 8,Waypoint 1,"2.66, 3.01",SUCCEEDED,47.36,16.05,47
Dijkstra,Cycle 8,Waypoint 2,"-3.99, -4.0",SUCCEEDED,39.36,15.83,38
Dijkstra,Cycle 8,Waypoint 3,"0.0, 0.0",SUCCEEDED,27.51,11.09,27
Dijkstra,Cycle 9,Waypoint 1,"2.66, 3.01",SUCCEEDED,47.17,16.10,46
Dijkstra,Cycle 9,Waypoint 2,"-3.99, -4.0",SUCCEEDED,42.85,15.92,42
Dijkstra,Cycle 9,Waypoint 3,"0.0, 0.0",SUCCEEDED,29.99,10.98,30
Dijkstra,Cycle 10,Waypoint 1,"2.66, 3.01",SUCCEEDED,43.71,16.31,43
Dijkstra,Cycle 10,Waypoint 2,"-3.99, -4.0",SUCCEEDED,40.65,15.95,40
Dijkstra,Cycle 10,Waypoint 3,"0.0, 0.0",SUCCEEDED,31.38,11.21,31
A*,Cycle 1,Waypoint 1,"2.66, 3.01",SUCCEEDED,43.66,16.25,43
A*,Cycle 1,Waypoint 2,"-3.99, -4.0",SUCCEEDED,41.81,15.84,41
A*,Cycle 1,Waypoint 3,"0.0, 0.0",SUCCEEDED,30.61,11.04,30
A*,Cycle 2,Waypoint 1,"2.66, 3.01",SUCCEEDED,43.51,16.15,42
A*,Cycle 2,Waypoint 2,"-3.99, -4.0",SUCCEEDED,41.10,16.16,40
A*,Cycle 2,Waypoint 3,"0.0, 0.0",SUCCEEDED,30.36,11.15,30
A*,Cycle 3,Waypoint 1,"2.66, 3.01",SUCCEEDED,46.39,16.08,45
A*,Cycle 3,Waypoint 2,"-3.99, -4.0",SUCCEEDED,38.94,15.83,38
A*,Cycle 3,Waypoint 3,"0.0, 0.0",SUCCEEDED,29.13,11.10,28
A*,Cycle 4,Waypoint 1,"2.66, 3.01",SUCCEEDED,47.51,16.22,46
A*,Cycle 4,Waypoint 2,"-3.99, -4.0",SUCCEEDED,41.64,15.98,41
A*,Cycle 4,Waypoint 3,"0.0, 0.0",SUCCEEDED,28.53,11.06,28
A*,Cycle 5,Waypoint 1,"2.66, 3.01",SUCCEEDED,46.66,16.19,46
A*,Cycle 5,Waypoint 2,"-3.99, -4.0",SUCCEEDED,42.60,15.96,41
A*,Cycle 5,Waypoint 3,"0.0, 0.0",SUCCEEDED,28.39,11.09,28
A*,Cycle 6,Waypoint 1,"2.66, 3.01",SUCCEEDED,46.91,16.16,45
A*,Cycle 6,Waypoint 2,"-3.99, -4.0",SUCCEEDED,42.27,15.93,41
A*,Cycle 6,Waypoint 3,"0.0, 0.0",SUCCEEDED,28.76,11.24,28
A*,Cycle 7,Waypoint 1,"2.66, 3.01",SUCCEEDED,45.62,16.28,45
A*,Cycle 7,Waypoint 2,"-3.99, -4.0",SUCCEEDED,42.89,16.00,42
A*,Cycle 7,Waypoint 3,"0.0, 0.0",SUCCEEDED,30.32,11.07,29
A*,Cycle 8,Waypoint 1,"2.66, 3.01",SUCCEEDED,43.90,16.31,43
A*,Cycle 8,Waypoint 2,"-3.99, -4.0",SUCCEEDED,41.05,15.81,40
A*,Cycle 8,Waypoint 3,"0.0, 0.0",SUCCEEDED,30.51,11.10,30
A*,Cycle 9,Waypoint 1,"2.66, 3.01",SUCCEEDED,43.50,16.09,42
A*,Cycle 9,Waypoint 2,"-3.99, -4.0",SUCCEEDED,39.09,15.90,38
A*,Cycle 9,Waypoint 3,"0.0, 0.0",SUCCEEDED,28.19,11.27,27
A*,Cycle 10,Waypoint 1,"2.66, 3.01",SUCCEEDED,43.66,16.30,43
A*,Cycle 10,Waypoint 2,"-3.99, -4.0",SUCCEEDED,42.07,15.95,41
A*,Cycle 10,Waypoint 3,"0.0, 0.0",SUCCEEDED,29.84,11.27,29
Hybrid,Cycle 1,Waypoint 1,"2.66, 3.01",SUCCEEDED,37.32,14.87,36
Hybrid,Cycle 1,Waypoint 2,"-3.99, -4.0",SUCCEEDED,44.76,15.56,43
Hybrid,Cycle 1,Waypoint 3,"0.0, 0.0",SUCCEEDED,24.73,10.29,24
Hybrid,Cycle 2,Waypoint 1,"2.66, 3.01",SUCCEEDED,37.91,14.81,36
Hybrid,Cycle 2,Waypoint 2,"-3.99, -4.0",SUCCEEDED,42.89,15.38,41
Hybrid,Cycle 2,Waypoint 3,"0.0, 0.0",SUCCEEDED,23.80,10.15,23
Hybrid,Cycle 3,Waypoint 1,"2.66, 3.01",SUCCEEDED,38.87,14.97,37
Hybrid,Cycle 3,Waypoint 2,"-3.99, -4.0",SUCCEEDED,46.05,15.65,45
Hybrid,Cycle 3,Waypoint 3,"0.0, 0.0",SUCCEEDED,24.74,10.58,24
Hybrid,Cycle 4,Waypoint 1,"2.66, 3.01",SUCCEEDED,38.88,14.81,38
Hybrid,Cycle 4,Waypoint 2,"-3.99, -4.0",SUCCEEDED,44.79,15.41,44
Hybrid,Cycle 4,Waypoint 3,"0.0, 0.0",SUCCEEDED,23.55,10.00,22
Hybrid,Cycle 5,Waypoint 1,"2.66, 3.01",SUCCEEDED,39.77,14.86,38
Hybrid,Cycle 5,Waypoint 2,"-3.99, -4.0",SUCCEEDED,44.23,15.55,44
Hybrid,Cycle 5,Waypoint 3,"0.0, 0.0",SUCCEEDED,24.00,10.43,23
Hybrid,Cycle 6,Waypoint 1,"2.66, 3.01",SUCCEEDED,38.06,14.95,37
Hybrid,Cycle 6,Waypoint 2,"-3.99, -4.0",SUCCEEDED,46.89,15.59,46
Hybrid,Cycle 6,Waypoint 3,"0.0, 0.0",SUCCEEDED,25.82,10.14,25
Hybrid,Cycle 7,Waypoint 1,"2.66, 3.01",SUCCEEDED,36.77,14.70,35
Hybrid,Cycle 7,Waypoint 2,"-3.99, -4.0",SUCCEEDED,45.80,15.53,45
Hybrid,Cycle 7,Waypoint 3,"0.0, 0.0",SUCCEEDED,25.51,10.32,24
Hybrid,Cycle 8,Waypoint 1,"2.66, 3.01",SUCCEEDED,38.95,14.92,38
Hybrid,Cycle 8,Waypoint 2,"-3.99, -4.0",SUCCEEDED,46.46,15.55,45
Hybrid,Cycle 8,Waypoint 3,"0.0, 0.0",SUCCEEDED,24.19,10.32,24
Hybrid,Cycle 9,Waypoint 1,"2.66, 3.01",SUCCEEDED,39.41,14.80,39
Hybrid,Cycle 9,Waypoint 2,"-3.99, -4.0",SUCCEEDED,47.47,15.58,46
Hybrid,Cycle 9,Waypoint 3,"0.0, 0.0",SUCCEEDED,24.35,10.33,24
Hybrid,Cycle 10,Waypoint 1,"2.66, 3.01",SUCCEEDED,39.50,14.91,38
Hybrid,Cycle 10,Waypoint 2,"-3.99, -4.0",SUCCEEDED,46.96,15.54,46
Hybrid,Cycle 10,Waypoint 3,"0.0, 0.0",SUCCEEDED,24.25,10.11,24
